Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type03,265,RATIO_CTRL,3.79235,3.66418,4.98576,1.81453,5.06389,2.52115,0.93481,0.96631,,,,,,,,,,
Type03,270,PCA_GPR,8.98286,8.09965,14.92027,4.58626,52.06398,6.49494,0.8471,0.91722,,,,,,,,,,
Type03,270,PCA_KRR,11.48263,9.9632,4.36581,2.05054,0.938,0.65833,0.92334,0.96014,,,,,,,,,,
Type03,270,PCA_LINEAR,10.15687,9.17675,3.7849,1.73445,5.7386,2.36684,0.93045,0.96397,,,,,,,,,,
Type03,270,PCA_SVR,11.29679,9.64039,5.13113,2.13706,6.56793,0.32478,0.92015,0.95841,,,,,,,,,,
Type03,270,PURE_GPR,8.4166,7.45056,4.87193,2.2199,7.93818,2.46439,0.92476,0.96091,,,,,,,,,,
Type03,270,PURE_KRR,11.60659,9.98826,5.09777,2.26199,0.83445,0.17939,0.91765,0.95706,,,,,,,,,,
Type03,270,PURE_SVR,12.36087,10.5664,5.30297,2.24721,3.08953,0.65919,0.92111,0.95894,,,,,,,,,,
Type03,270,RATIO_CTRL,1.73769,1.60052,2.81369,1.17684,3.83595,1.26908,0.95536,0.97717,,,,,,,,,,
Type03,275,PCA_GPR,10.16266,8.95102,20.36231,5.00196,66.0141,5.66641,0.83601,0.91068,,,,,,,,,,
Type03,275,PCA_KRR,10.11545,9.52997,3.90399,1.56273,5.56518,1.96395,0.93996,0.96905,,,,,,,,,,
Type03,275,PCA_LINEAR,9.27097,8.64174,2.87394,1.16589,3.89826,0.10445,0.94886,0.97376,,,,,,,,,,
Type03,275,PCA_SVR,9.61924,8.74158,4.5501,1.74925,1.988,2.11228,0.93271,0.96519,,,,,,,,,,
Type03,275,PURE_GPR,5.94419,5.49738,3.99979,1.75266,8.58721,0.40602,0.94039,0.96928,,,,,,,,,,
Type03,275,PURE_KRR,10.23566,9.54317,5.04481,1.87403,5.87532,2.49365,0.92907,0.96323,,,,,,,,,,
Type03,275,PURE_SVR,11.12697,10.38181,6.08307,2.00572,9.04613,3.52625,0.92827,0.9628,,,,,,,,,,
Type03,275,RATIO_CTRL,5.13095,4.93917,4.89161,2.16108,6.37854,3.92628,0.92456,0.9608,,,,,,,,,,
Type03,280,PCA_GPR,12.14045,10.42137,24.80603,5.55707,79.68205,4.41781,0.81788,0.89982,,,,,,,,,,
Type03,280,PCA_KRR,10.55466,9.62098,4.81234,1.47581,7.71418,4.47983,0.94016,0.96916,,,,,,,,,,
Type03,280,PCA_LINEAR,9.3583,8.53404,3.11342,0.99431,1.88232,2.53117,0.95407,0.9765,,,,,,,,,,
Type03,280,PCA_SVR,10.0596,9.04884,4.43491,1.44767,1.64717,4.39914,0.94457,0.97149,,,,,,,,,,
Type03,280,PURE_GPR,5.43167,4.73722,4.89533,1.66851,11.57782,1.80573,0.94336,0.97085,,,,,,,,,,
Type03,280,PURE_KRR,10.71679,9.68943,5.13298,1.79435,8.4024,4.97725,0.93059,0.96405,,,,,,,,,,
Type03,280,PURE_SVR,11.71312,10.6611,6.05911,2.03983,11.83535,5.92119,0.92684,0.96203,,,,,,,,,,
Type03,280,RATIO_CTRL,5.05204,4.474,8.06069,3.12715,9.16037,6.90137,0.8984,0.94648,,,,,,,,,,
Type04,230,PCA_GPR,21.92907,21.23971,27.51461,6.31771,83.64969,7.0749,0.7954,0.88604,,,,,,,,,,
Type04,230,PCA_KRR,7.29508,6.76864,0.86384,0.40859,0.53875,0.66833,0.97991,0.98985,,,,,,,,,,
Type04,230,PCA_LINEAR,7.12112,6.50354,1.53822,0.37749,2.34566,0.2206,0.9806,0.9902,,,,,,,,,,
Type04,230,PCA_SVR,7.64001,7.20027,1.61167,0.43875,2.66819,0.37177,0.97644,0.98808,,,,,,,,,,
Type04,230,PURE_GPR,8.58938,8.20392,2.95927,0.71449,6.19599,0.873,0.96639,0.98291,,,,,,,,,,
Type04,230,PURE_KRR,7.23999,6.70224,0.69375,0.33593,0.10237,0.4585,0.98274,0.9913,,,,,,,,,,
